1,Orel Hershiser,SP
2,Mike Scott,SP
3,Dwight Gooden,SP
4,Rick Mahler,SP
5,Tom Browning,SP
6,Fernando Valenzuela,SP
7,Ron Darling,SP
8,Bob Welch,SP
9,Rick Reuschel,SP
10,Kevin Gross,SP
11,Bob Knepper,SP
12,Rick Rhoden,SP
13,Nolan Ryan,SP
14,Eric Show,SP
15,Danny Darwin,SP
16,John Tudor,SP
17,Shane Rawley,SP
18,Andy Hawkins,SP
19,Rick Sutcliffe,SP
20,Bryn Smith,SP
21,Danny Cox,SP
22,Zane Smith,SP
23,Mike Krukow,SP
24,Sid Fernandez,SP
25,Jose DeLeon,SP
26,Ed Whitson,SP
27,Bob Forsch,SP
28,Dennis Martinez,SP
29,Jay Tibbs,SP
30,Dave LaPoint,SP
31,Bill Gullickson,SP
32,Don Carman,SP
33,David Palmer,SP
34,Bob Ojeda,SP
35,Dave Dravecky,SP
36,Charles Hudson,SP
37,Jerry Reuss,SP
38,Joaquin Andujar,SP
39,Dennis Eckersley,SP
40,Tim Leary,SP
41,Rick Honeycutt,SP
42,Mike LaCoss,SP
43,Bob Walk,SP
44,Doug Drabek,SP
45,Brian Fisher,SP
46,Ted Power,SP
47,Jim Deshaies,SP
48,Floyd Youmans,SP
49,Bruce Ruffin,SP
50,Jamie Moyer,SP
51,Scott Garrelts,SP
52,Atlee Hammaker,SP
53,Mario Soto,SP
54,Steve Trout,SP
55,Steve Bedrosian,SP
56,Ron Robinson,SP
57,Scott Sanderson,SP
58,Don Robinson,SP
59,Andy McGaffigan,SP
60,Kelly Downs,SP
61,Greg Maddux,SP
62,Ricky Horton,SP
63,Mark Davis,SP
64,Greg Mathews,SP
65,Larry McWilliams,SP
66,Rick Aguilera,SP
67,Ed Lynch,SP
68,John Denny,SP
69,Jim Acker,SP
70,Mark Thurmond,SP
71,LaMarr Hoyt,SP
72,Pascual Perez,SP
73,David Cone,SP
74,Jimmy Jones,SP
75,Joe Hesketh,SP
76,Joe Magrane,SP
77,Mike Dunne,SP
78,Joe Johnson,SP
79,Calvin Schiraldi,SP
80,Jim Gott,SP
81,Bob Kipper,SP
82,Dan Schatzeder,SP
83,Bob Sebra,SP
84,John Smiley,SP
85,Mike Bielecki,SP
86,Vida Blue,SP
87,Terry Leach,SP
88,Jim Winn,SP
89,Mark Grant,SP
90,Guy Hoffman,SP
91,Charlie Puleo,SP
