2789,343,Wade Boggs
2781,372,Cal Ripken
2767,1334,Brett Butler
2756,312,Harold Reynolds
2747,414,Joe Carter
2745,313,Steve Sax
2714,415,Ruben Sierra
2706,1279,Bobby Bonilla
2682,1250,Ryne Sandberg
2633,1228,Eddie Murray
2629,1229,Will Clark
2628,373,Tony Fernandez
2618,416,Kirby Puckett
2609,314,Julio Franco
2606,1251,Roberto Alomar
2603,417,Robin Yount
2595,418,Rafael Palmeiro
2592,419,Mike Greenwell
2581,278,Fred McGriff
2569,1280,Tim Wallach
2569,315,Paul Molitor
2535,1281,Howard Johnson
2526,1335,Dale Murphy
2522,1336,Barry Bonds
2509,1303,Ozzie Smith
2490,420,George Bell
2481,1230,Mark Grace
2474,421,Rickey Henderson
2459,1252,Juan Samuel
2425,279,Mark McGwire
2415,1337,Tony Gwynn
2388,280,Don Mattingly
2380,422,Chili Davis
2378,1338,Tom Brunansky
2368,1339,Darryl Strawberry
2356,1253,Jose Lind
2356,281,George Brett
2352,1340,Kevin McReynolds
2347,316,Jody Reed
2343,423,Devon White
2324,1341,Tim Raines
2319,424,Dave Henderson
2314,1231,Andres Galarraga
2306,344,Kelly Gruber
2297,1342,Andy VanSlyke
2297,345,Kevin Seitzer
2289,425,Harold Baines
2283,282,Alvin Davis
2283,374,Ozzie Guillen
2278,346,Gary Gaetti
2275,283,Pete O'Brien
2258,284,Wally Joyner
2252,347,Brook Jacoby
2247,1343,Andre Dawson
2231,1254,Robby Thompson
2220,1344,Hubie Brooks
2219,426,Jack Clark
2201,427,Ellis Burks
2194,1345,Kevin Mitchell
2194,428,Dave Parker
2183,429,Dan Gladden
2179,1282,Terry Pendleton
2178,317,Lou Whitaker
2177,1304,Shawon Dunston
2176,1305,Barry Larkin
2167,1283,Chris Sabo
2167,430,Jose Canseco
2165,1346,Paul O'Neill
2156,1255,Ron Gant
2151,431,Ivan Calderon
2132,1347,Vince Coleman
2131,1348,Chris James
2125,432,Rob Deer
2115,1256,Jose Oquendo
2106,1349,Billy Hatcher
2103,285,Kent Hrbek
2100,433,Dwight Evans
2083,375,Tony Phillips
2076,1232,Pedro Guerrero
2057,376,Alan Trammell
2053,1,Dave Stewart
2044,520,Brian Downing
2040,1190,Tony Pena
2038,238,B.J. Surhoff
2034,2,Roger Clemens
2027,318,Scott Fletcher
2026,319,Willie Randolph
2006,1350,Lenny Dykstra
2004,434,Jesse Barfield
2003,1257,Bill Doran
2001,1351,Willie McGee
