2706,279,Bobby Bonilla
2629,229,Will Clark
2606,251,Roberto Alomar
2535,281,Howard Johnson
2526,335,Dale Murphy
2509,303,Ozzie Smith
2415,337,Tony Gwynn
2368,339,Darryl Strawberry
2356,253,Jose Lind
2324,341,Tim Raines
2314,231,Andres Galarraga
2247,343,Andre Dawson
2194,345,Kevin Mitchell
2176,305,Barry Larkin
2167,283,Chris Sabo
2156,255,Ron Gant
2132,347,Vince Coleman
2106,349,Billy Hatcher
2003,257,Bill Doran
2001,351,Willie McGee
1994.6,1,Frank Viola
1987,191,Benito Santiago
1947,233,Todd Benzinger
1938,353,Von Hayes
1916.8,3,Tom Browning
1869,307,Rafael Ramirez
1859,259,Gregg Jefferies
1847,355,Kal Daniels
1830.6,5,Dennis Martinez
1830,235,Dave Magadan
1806,357,Kirk Gibson
1797,193,Mike Scioscia
1792,309,Spike Owen
1790.8,7,David Cone
1759,285,Matt Williams
1726,311,Garry Templeton
1672,313,Kevin Elster
1635,359,Lonnie Smith
1630.8,9,Jose DeLeon
1578.6,11,Dwight Gooden
1573,361,Mitch Webster
1544,13,Tim Belcher
1528.8,15,Tim Leary
1490,237,Ricky Jordan
1479.4,17,Ed Whitson
1461.2,19,Zane Smith
1461,261,Bip Roberts
1424,21,Kevin Gross
1399,315,Jeff Blauser
1383,287,Charlie Hayes
1348.6,23,Jose Rijo
1347,363,Mike Marshall
1340.8,25,Rick Mahler
1319,195,Mike LaValliere
1306.8,27,Mike Scott
1305.4,29,Don Robinson
1299,365,Otis Nixon
1282,239,Franklin Stubbs
1264,367,Carmelo Martinez
1246,369,Jerome Walton
1229,263,Delino DeShields
1212,289,Vance Law
1208,197,Gary Carter
1206.6,31,Joe Magrane
1186,371,Dion James
1178,33,Ramon Martinez
1157,317,Ernie Riles
1146,35,Rick Sutcliffe
1138,265,Tim Teufel
1123.4,37,OilCan Boyd
1109,199,Jeff Reed
1089.4,39,Danny Darwin
1076,41,Bruce Ruffin
1060,373,Larry Walker
1027,201,Tom Pagnozzi
1022,375,David Justice
1018,43,Jim Clancy
994,377,Marquis Grissom
986,45,Scott Garrelts
948,47,Pascual Perez
941.4,49,Ken Hill
937,319,Eric Yelding
933,291,Ken Oberkfell
922,379,Marvell Wynne
918.6,51,Neal Heaton
915,321,Rafael Belliard
908,203,Damon Berryhill
875,381,Dwight Smith
850.8,53,Kelly Downs
842,205,Mackey Sasser
839,267,Rex Hudler
838.4,55,Norm Charlton
824.6,57,Jimmy Jones
823.4,59,Jeff Robinson(Pit)
816,323,Dave Anderson
806.6,61,Greg Harris(SD)
780,383,Ken Griffey(Sr)
769,241,Keith Hernandez
768.6,63,Bob Knepper
758,207,Lloyd McClendon
747,385,Ray Lankford
742,65,Randy Myers
739,293,Mike Sharperson
732.6,67,Bob Tewksbury
723.4,139,Paul Assenmacher
695,209,Rick Dempsey
694.6,69,Mark Gardner
694,141,Craig Lefferts
683.4,71,Ron Robinson
680,269,Mark Lemke
677.2,143,Rob Dibble
654.8,145,Jeff Parrett
646.8,73,Ken Howell
642,243,Jeff Bagwell
633.4,147,Tim Crews
626.2,149,Larry Andersen
623.4,75,Jose DeJesus
619,387,Mark Carreon
616.2,77,Atlee Hammaker
604,79,Derek Lilliquist
600,151,Jeff Brantley
590.8,81,Jeff Pico
578.4,153,Joe Boever
577,295,Mickey Hatcher
573,211,Jody Davis
572.6,83,Pat Combs
571,389,Mike Kingery
547,391,Jose Gonzalez
546.6,85,Scott Scudder
541.4,155,Bob Kipper
519.2,157,Frank DiPino
517,325,Domingo Ramos
506,271,Greg Litton
503.6,87,Mike Maddux
495,393,Mike Davis
491,297,Chico Walker
490.8,89,Steve Wilson
478,213,Mark Parent
470,395,Eric Anthony
465.2,91,Ricky Horton
461,215,Bo Diaz
453.4,93,Shawn Boskie
439,217,Bruce Benedict
433.2,95,Omar Olivares
430.6,159,Jim Gott
422,397,Gary Varsho
420.8,97,Marty Clary
407.8,161,Ken Dayley
407,399,Rolando Roomes
400,273,Luis Alicea
388,219,John Russell
377,401,Bob Dernier
376.6,99,Danny Cox
374.2,101,Bob Patterson
368,403,Chris Gwynn
365.2,103,Bill Sampen
350,405,Thomas Howard
347,221,Ozzie Virgil
341,299,Tim Flannery
335.4,105,Mike Krukow
326.6,107,Brian Fisher
325,223,Alan Ashby
315.4,163,John Costello
307.4,109,Darryl Kile
306,327,Tim Jones
305.2,165,Jose Alvarez
303,407,Darren Lewis
296,111,Xavier Hernandez
296,301,Dave Hollins
293.8,167,Stan Belinda
292.6,113,David Palmer
291,409,Lee Mazzilli
289,245,Brian Hunter
286,411,Donell Nixon
284,169,Rich Gossage
283.4,171,Todd Worrell
281,275,Damaso Garcia
278,115,Randy O'Neal
278,173,Scott Ruskin
273.2,117,Jason Grimsley
270,225,Francisco Cabrera
264,175,Kent Tekulve
261,413,Ron Jones
255.4,177,Rich Rodriguez
255,247,Phil Stephenson
253.4,119,Floyd Youmans
250,415,Karl Rhodes
243.2,179,Kent Mercker
240.8,121,Rick Reed
239,329,Rod Booker
237,417,Greg Gross
227,227,Gilberto Reyes
223.4,123,Frank Castillo
222,125,Bob Scanlan
215,277,Dave Concepcion
209.8,181,Doug Bair
208,331,Al Pedrique
206,249,Benny Distefano
201.4,127,Jose Nunez
201.4,183,Tim Layana
201,333,Jose Offerman
186,185,Al Osuna
182.8,129,Greg Booker
174,131,Mario Soto
171.4,133,Kip Gross
169.4,135,Chris Haney
165.4,187,Dave Leiper
155.2,137,Bob Sebra
152.6,189,Wally Ritchie
